danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.607,0.599,11,-6.886,1,0.0995,0.33,0,0.199,0.562,172.982,audio_features,0YkJU6TjjwzsVXUPRIO0DB,spotify:track:0YkJU6TjjwzsVXUPRIO0DB,https://api.spotify.com/v1/tracks/0YkJU6TjjwzsVXUPRIO0DB,https://api.spotify.com/v1/audio-analysis/0YkJU6TjjwzsVXUPRIO0DB,253573,4,RnB,Make Me Better,,
0.721,0.723,2,-7.08,0,0.0631,0.102,4.40E-06,0.0651,0.761,177.866,audio_features,5zn1hpm9N0ylKB7kOtpCw2,spotify:track:5zn1hpm9N0ylKB7kOtpCw2,https://api.spotify.com/v1/tracks/5zn1hpm9N0ylKB7kOtpCw2,https://api.spotify.com/v1/audio-analysis/5zn1hpm9N0ylKB7kOtpCw2,263440,4,RnB,No More (Baby I'ma Do Right),,
0.854,0.663,2,-5.198,1,0.0676,0.0935,3.66E-06,0.0606,0.9,199.424,audio_features,4bJ02dcoGEkcSJOhNbx0tp,spotify:track:4bJ02dcoGEkcSJOhNbx0tp,https://api.spotify.com/v1/tracks/4bJ02dcoGEkcSJOhNbx0tp,https://api.spotify.com/v1/audio-analysis/4bJ02dcoGEkcSJOhNbx0tp,223800,4,RnB,Uh Huh,,
0.64,0.883,5,-4.011,0,0.0497,0.00866,0,0.488,0.379,130.005,audio_features,6stxKQ2M28z3YYHxVnyTVv,spotify:track:6stxKQ2M28z3YYHxVnyTVv,https://api.spotify.com/v1/tracks/6stxKQ2M28z3YYHxVnyTVv,https://api.spotify.com/v1/audio-analysis/6stxKQ2M28z3YYHxVnyTVv,272093,4,RnB,Go Hard,,
0.883,0.688,9,-4.054,0,0.11,0.254,0.00104,0.109,0.664,199.79,audio_features,2mUiyw2DFg4tNgsRkY1NCp,spotify:track:2mUiyw2DFg4tNgsRkY1NCp,https://api.spotify.com/v1/tracks/2mUiyw2DFg4tNgsRkY1NCp,https://api.spotify.com/v1/audio-analysis/2mUiyw2DFg4tNgsRkY1NCp,316880,4,RnB,Shine,,
0.767,0.759,6,-6.516,1,0.117,0.0513,0,0.31,0.677,179.978,audio_features,7FWuzwapuKHTEyDJIcQOw3,spotify:track:7FWuzwapuKHTEyDJIcQOw3,https://api.spotify.com/v1/tracks/7FWuzwapuKHTEyDJIcQOw3,https://api.spotify.com/v1/audio-analysis/7FWuzwapuKHTEyDJIcQOw3,213027,4,RnB,Stutter (feat. Mystikal) - Double Take Remix,,
0.696,0.641,10,-6.899,0,0.213,0.0911,0,0.296,0.676,189.906,audio_features,63Yt6XWrGgCyoFyv0yBYzW,spotify:track:63Yt6XWrGgCyoFyv0yBYzW,https://api.spotify.com/v1/tracks/63Yt6XWrGgCyoFyv0yBYzW,https://api.spotify.com/v1/audio-analysis/63Yt6XWrGgCyoFyv0yBYzW,198027,4,RnB,Sun Come Up - Main,,
0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,180.238,audio_features,6zMUIb4uce1CzpbjR3vMdN,spotify:track:6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/tracks/6zMUIb4uce1CzpbjR3vMdN,https://api.spotify.com/v1/audio-analysis/6zMUIb4uce1CzpbjR3vMdN,227387,4,RnB,Foolish,,
0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,audio_features,2SLZ2rX5773RS16mcqBxG7,spotify:track:2SLZ2rX5773RS16mcqBxG7,https://api.spotify.com/v1/tracks/2SLZ2rX5773RS16mcqBxG7,https://api.spotify.com/v1/audio-analysis/2SLZ2rX5773RS16mcqBxG7,193093,4,RnB,Peaches & Cream,,
0.821,0.82,1,-1.562,1,0.233,0.178,6.35E-06,0.149,0.564,188.1,audio_features,3zmBBq2RwdHzqUXZlzNeeq,spotify:track:3zmBBq2RwdHzqUXZlzNeeq,https://api.spotify.com/v1/tracks/3zmBBq2RwdHzqUXZlzNeeq,https://api.spotify.com/v1/audio-analysis/3zmBBq2RwdHzqUXZlzNeeq,187400,4,RnB,Crowded,,
